name,description,key_skills,department,salary_from,salary_to,area.name,published_at
Веб-разработчик,,"Быстрое развитие навыков веб-разработчика. Требования к разработчику: Опыт работы с PHP и SQL. Опыт работы с JS, jQuery. ",,70000,100000,Санкт-Петербург,2022-12-20T04:31:19+0300
Техник по комплексному обслуживанию и ремонту зданий,"Техническое обслуживание зданий. Текущий ремонт и техническое обслуживание систем центрального отопления, водоснабжения, канализации, водостоков, теплоснабжения. Мелкий строительный ремонт. ",Подобный опыт по обслуживанию коммуникаций зданий и оборудования будет вашим преимуществом.,,60000,,Новосибирск,2022-12-20T04:55:00+0300
Токарь,"Обязанности: Токарная обработка деталей, работа на токарном станке.","Требования: опыт работы обязателен, 3 - 4 разряд, читать конструкторскую и технологическую документации.",,60000,,Барнаул,2022-12-20T04:57:28+0300
Ученик оператора станков с ЧПУ,Работа на металлообрабатывающем станке с ЧПУ. Изготовление деталей согласно чертежам. Обслуживание станка.,"Знание основ механической обработки металла, чтение чертежей. Внимательность, аккуратность, готовность к обучению. Наличие опыта приветствуется.",,35000,,Новокузнецк,2022-12-20T04:31:11+0300
Арт-менеджер,"Организация, планирование и координация деятельности предприятия при осуществлении проектов, направление своей деятельности на совершенствование качества и конкурентоспособности оказываемых услуг с...",Высшее или средне специальное образование. Опыт работы в аналогичной должности от одного года или в должности Арт-менеджера от трех...,,80460,91954,Южно-Сахалинск,2022-12-20T04:24:44+0300
Менеджер по продукту,Выявление рыночных возможностей по развитию продаж в части вверенной ассортиментной категории. Управление ассортиментом вверенной категории товаров. Подготовка прогнозов-планов продаж...,"Опыт работы в должности менеджера по продукту/категорийного менеджера/руководителя направления не менее 3х лет. Образование высшее, предпочтительно технических...",,130000,,Хабаровск,2022-12-20T04:09:12+0300
Токарь-расточник,Обязанности: Работа на горизонтально-расточном станке.,,,70000,,Барнаул,2022-12-20T04:57:28+0300
Механик цеха,"Обеспечивает безаварийную и надежную работу оборудования, их правильную эксплуатацию, своевременный ремонт и тех обслуживание. Принимает участие в приемке и установке...","Высшее, техническое образование. Организаторские навыки. Знание технической и конструкторской документации. Знание техники безопасности и ОТ. Знание ПК (MS Office, Excel...",,65000,,Новокузнецк,2022-12-20T04:30:58+0300
Инженер по аналитической работе,"Провождение хронометража и определение нормы и расхода топлива. Установка временных норм, исходя из инструкции по эксплуатации (для учета топлива, заправленного...","Высшее образование. ​Опыт работы. ​Уверенный пользователь ПК. Мобильность, коммуникабельность, активная жизненная позиция.",,40000,,Кемерово,2022-12-20T04:11:56+0300
Оператор станков с программным управлением,Ведение процесса обработки с пульта управления средней сложности и сложных деталей по 8 - 11 квалитетам с большим числом переходов на...,Устройство и кинематические схемы различных станков с программным управлением и правила их наладки. Правила настройки и регулировки контрольно-измерительных инструментов...,,45000,,Томск,2022-12-20T04:05:17+0300
Сервисный инженер / Инженер-наладчик,"Производить обслуживание всего производственного оборудования на производстве. Делать пусконаладку нового оборудования ""под ключ"". Составлять список необходимых материалов для бесперебойной работы...","Возможность и желание работать не только головой, но и руками. Требования: 1. Высшее образование (техническое/профильное). 2. Знание основ электротехники...",,70000,,Новосибирск,2022-12-20T04:11:51+0300
Фрезеровщик,,"Требования: Опыт работы обязателен, умение разбираться в чертежах.",,45000,,Барнаул,2022-12-20T04:57:28+0300
Техник,"Проведение работ по техническому обслуживанию, профилактическому и текущему ремонту инженерных систем и зданий. Проведение работ по замене вышедшего из строя...","Допуск по ЭБ. Знание норм охраны труда и техники безопасности. Среднее -специальное профильное образование. Ответственность, коммуникабельность, не конфликтность.",,38000,,Красноярск,2022-12-20T04:15:48+0300
Механик,"Организация работы техники . Выпуск на линию, контроль за техническим состоянием автопарка. Планирование графиков прохождения ТО, плановых ремонтов специальной техники. ",Высшее образование (транспортная сфера). Знание условий перевозки опасных грузов. Знание ТС грузоподъемных механизмов (опасных производственных объектов). Опыт работы в аналогичной...,,56000,,Кемерово,2022-12-20T04:11:56+0300
Рабочий по комплексному обслуживанию зданий,"Уборка и содержание в надлежащем санитарном состоянии здание лицея (подвалы, чердаки и т.д.). Сезонная подготовка обслуживаемых зданий, сооружений, оборудования...","Требования: средне-специальное, опыт работы в сфере.",,,22000,Новосибирск,2022-12-20T04:47:33+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,"Подключение услуг Компании. Монтаж, установка и настройка оконечного абонентского оборудования. Демонстрация работоспособности услуг. Консультация пользователей по вопросам настройки абонентского оборудования...","Есть интерес к сфере телекома и желание развиваться в заданном направлении (НЕТ ОПЫТА, МЫ НАУЧИМ). Имеется опыт монтажных работ линий...",,54000,,Лесосибирск,2022-12-20T04:51:05+0300
Дизайнер карточек для маркетплейсов (подработка),"Дизайн карточек для маркетплейсов (Amazon, Etsy, eBay) и сайта. Создание инфографик. Ретушь и обработка фотографий. Дизайн баннеров для социальных сетей...","Умение самостоятельно разбираться в новом функционале. Не бояться новых задач, с которыми раньше не сталкивался, делаешь их с интересом и...",,15000,,Томск,2022-12-20T05:51:26+0300
Продукт-менеджер (Product manager),"Инициирует открытие проекта по изменению/созданию новой функциональности продукта (бюджетирование ресурсов, планирование доходов и расходов по проекту). - Определяет приоритет и...","Умение определить бизнес-цели продукта. - Умение сформировать кросс-функциональную команду проекта, определить, обозначить роли, задачи, ответственность. - Умение определять ценности продукта...",,500000,1000000,Алматы,2022-12-20T05:59:13+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С: Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Назарово,2022-12-20T05:52:48+0300
Токарь-универсал,"Работа на токарных станках 1К62, 16К20, ИЖ250. Работа с микрометром, штангенциркулем.",Паспорт. Подтверждение вашей квалификации в трудовой книжке или в трудовых договорах. Желание зарабатывать.,,120000,,Самара,2022-12-20T05:44:59+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Абан,2022-12-20T05:51:12+0300
Механик,Обеспечение бесперебойной эксплуатации оборудования и техники. Проверка тех.состояния автомобилей и спец.техники. Контроль выполнения ТО. Выпуск автомобилей на линию. ,"Опыт работы механиком/начальником участка в транспортной компании. Умение работать с документами. Знание устройства грузовых автомобилей и запчастей, умение заполнять...",,150000,,Красноярск,2022-12-20T05:23:36+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С: Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Канск,2022-12-20T05:52:29+0300
Механик (спецтехника),"Организация ремонта спецтехники (бульдозеры, экскаваторы, погрузчики, дробилка). Принятие мер по своевременному устранению неисправностей. Обеспечение безаварийной и надежной работы спецтехники и...",Знание спецтехники. Ответственность. Профильное образование.,,80000,,Новосибирск,2022-12-20T05:14:37+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Шушенское,2022-12-20T05:48:55+0300
Программист 1C,"Программирование в среде 1С Предприятие. Анализ требований пользователей. Доработка функционала, разработка обработок, отчетов. Консультации пользователей.",Высшее образование (при наличии будет плюсом). Знание и опыт работы с платформой 1С: Предприятие. Наличие сертификатов приветствуется. ,,50000,100000,Зеленогорск (Красноярский край),2022-12-20T05:52:11+0300
