name,description,key_skills,department,salary_from,salary_to,area.name,published_at
Инженер-электроник,"Специалист, обеспечивающий правильную техническую эксплуатацию, бесперебойную работу электронного оборудования, занимается производственными процессами, ремонтом, эксплуатацией и обслуживанием электроник. Занимается программированием, обслуживанием. ",Ответственный подход к выполняемой работе. Умение работать в команде. Опыт работы.,,60000,,Дзержинск (Нижегородская область),2022-12-20T09:31:45+0300
Наладчик термоформовочного оборудования,Наладка и ремонт термоформовочного оборудования.,"Аккуратность, ответственность. Опыт работы наладчиком желателен. Если нет опыта, можем научить.",,55000,60000,Запрудня (Московская область),2022-12-20T09:46:33+0300
Специалист отдела технической поддержки,"Онлайн поддержка пользователей системы по: телефону, онлайн чату. (при необходимости подключение по программам удаленного доступа). Помощь в решении вопросов пользователей. ",Опыт работы на аналогичной позиции желателен (тех.поддержка / support / helpdesk). Любовь к людям и ПО. Желание и умение помогать. ,,100000,180000,Алматы,2022-12-20T09:43:08+0300
Оператор станка с ЧПУ,,Опыт работы не менее 1 года. -Записи в Трудовой. -Наличие удостоверения.,,91000,,Нижний Новгород,2022-12-20T09:18:20+0300
Механик,"Обеспечение надлежащей технической эксплуатации портальных кранов, грузозахватных органов. Контроль за техническим состоянием портальных кранов. Ведение документации. Ремонт перегрузочной техники и...",Опыт на аналогичной должности от 2 лет.,,74000,74000,Санкт-Петербург,2022-12-20T09:15:55+0300
Начальник отдела цифровых проектов в сфере труда и публичных информационных проектов,"Организация работы отдела. Участие в разработке информационных материалов, предназначенных для публичного распространения (полиграфической продукции, аудио - и видеороликов и др.). ","Высшее образование, желательно в области информационных технологий, «Системный анализ и планирование», менеджмента. Важен квалификационный опыт. Знания и умения в области...",,110000,140000,Москва,2022-12-20T09:37:54+0300
Data scientist / ML разработчик,"Участие в поддержке текущих, а также развертывании новых рекомендательных ML систем. Проводить аналитические исследования данных: искать взаимосвязи, формулировать и проверять...","Высшее образование в области прикладной математики/физики/IT. Python, ML sklearn, boosting (xgboost, lgbm, catboost), statmodels, PySpark, PyTorch. ",,70000,,Томск,2022-12-20T09:15:16+0300
Шлифовщик,"Работа на станках ОШ400, 3Е711, С827, 3Е710В, 3А227П. ",Мы рассматриваем кандидатов с 4-6 разрядом и подтверждённым опытом работы.,,115000,135000,Тула,2022-12-20T09:33:18+0300
Фрезеровщик,,Опыт работы. Запись в трудовой. От 4 разряда. Наличие удостоверения.,,85000,,Тюмень,2022-12-20T09:39:18+0300
Системный администратор,Администрирование. Техническая поддержка пользователей. Ведение учета оборудования.,Знание операционных систем на базе систем Windows. Начальные навыки монтажных работ оборудования. Высшее или среднее-профессиональное образование.,,30000,,Казань,2022-12-20T09:53:32+0300
Оператор фрезерных станков с ПУ 5 разряда,"Ведение процесса обработки с пульта на станках с программным управлением особо сложных, ответственных деталей с большим числом переходов, требующих перестановок...",Среднее профессиональное образование. Опыт работы по специальности от 3-х лет. Наличие подтвержденного разряда ОБЯЗАТЕЛЬНО!,,70000,,Санкт-Петербург,2022-12-20T09:28:18+0300
Консультант по типовым версиям 1С-стажер,"Консультирование по типовым конфигурациям 1С Розница, Управление торговлей, Управление нашей фирмой. Предварительное обучение. Обучение пользователей работе с выбранным ПО. ",Уверенный пользователь ПК. Знание одной из версии конфигурации 1С или ИТ образование. Желание расти и обучаться.,,20000,60000,Кемерово,2022-12-20T09:40:28+0300
Бизнес-аналитик,"Анализ административных и производственных бизнес-процессов. Сбор, консолидирование, обработка и анализ информации и данных из систем и баз данных (Excel...",Высшее образование (информационные технологии / экономическое / техническое). Опыт работы бизнес-аналитиком или руководителем/менеджером проекта от 2-х лет. ,,40000,,Уфа,2022-12-20T09:36:19+0300
Руководитель отдела IT и информационной безопасности,"Организация работы отдела. Развитие информационной и технической базы. Написание ТЗ для внутренней разработки, подрядчиков, поставщиков. Администрирование серверов. Организация защищённого VPN...","Знание законодательства в области защиты информации (персональные данные, коммерческая тайна, СКЗИ). Оценка сложности алгоритмов и вычислений. Разработка технических заданий на...",,150000,,Москва,2022-12-20T09:30:45+0300
Системный администратор,"Администрирование ЛВС. Администрирование серверов Windows/Linux. AD, DHCP, DNS. Работа с гипервизорами. Установка ОС и прикладного ПО. Ремонт компьютерной техники. ",Высшее профессиональное (техническое или инженерно-экономическое) образование. Стаж работы по специальности не менее 3-х лет.,,,90000,Южно-Сахалинск,2022-12-20T09:31:21+0300
Прораб,"Контроль и организация работы бригад отделочников, приемка работ. Привлечение бригад, отдельных сотрудников для выполнения отделочных работ. Просчет объемов. ","Опыт работы в строительстве, отделке. Знание строительных норм и правил.",,50000,80000,Кемерово,2022-12-20T09:58:31+0300
Станочник металлообрабатывающих станков (на прокат и пресс),Проводить штамповку и прокат простых и однотипных деталей. Следить за исправностью рабочего оборудования. Проводить контроль геометрических размеров получаемых изделий. ,Среднее профессиональное образование. Опыт работы от 1 года. Знать технологию получаемых изделий методом проката и штамповки. Уметь работать с измерительными...,,50000,,Нижний Новгород,2022-12-20T09:26:45+0300
Слесарь по ремонту металлообрабатывающих станков,Ремонт металлорежущего оборудования.,Трудолюбие и дисциплинированность. Специальное образование или запись в трудовой книжке.,,50000,,Пермь,2022-12-20T09:00:05+0300
Фрезеровщик,,Опыт работы. Запись в трудовой. От 4 разряда. Наличие удостоверения.,,85000,,Нижний Тагил,2022-12-20T09:39:18+0300
Главный механик,"Руководство и планирование работы механической службы. Организация технически правильной эксплуатации, бесперебойной работы и своевременного ремонта промышленного оборудования, проведение анализа технического...",Высшее техническое образование(инженер-механик). Опыт работы от 5 лет на крупном промышленном предприятии с большим парком оборудовании. ,,,180000,Павловский Посад,2022-12-20T09:33:32+0300
Специалист по описанию бизнес-процессов,"Описание процессов в компании. Подготовка регламентов и рабочей документации (схемы процессов, описание процессов и пр.). Поддержание описаний бизнес-процессов в...","Умеете выделить важное из большого потока информации. Грамотны, пунктуальны и внимательны к деталям. Опытный пользователь ПК. Имеете опыт в написании...",,35000,,Красноярск,2022-12-20T09:16:45+0300
Токарь,,Опыт работы. Запись в трудовой. От 4 разряда. Наличие удостоверения.,,108000,,Тверь,2022-12-20T09:24:38+0300
Фрезеровщик,,Опыт работы. Запись в трудовой. От 4 разряда. Наличие удостоверения.,,85000,,Верхняя Салда,2022-12-20T09:39:18+0300
Штамповщик-наладчик,Штамповка изделий на прессах. Наладка прессов.,Аналогичный опыт работы с оборудованием для штамповки изделий из метала. Навыки наладки оборудования.,,47000,,Рязань,2022-12-20T09:22:16+0300
Инженер по гарантии автомобилей Toyota/Lexus,Осмотр автомобиля для определения характера заявленной клиентом неисправности. Грамотное составление заявок. Согласование с дистрибьютором сложных дорогостоящих ремонтов. Обеспечение максимально эффективного...,"Образование техническое, предпочтительно автомобильное. Опыт работы в аналогичной должности. Знание устройства автомобиля и технологий ремонта. Уверенный пользователь ПК.",,60000,,Сыктывкар,2022-12-20T09:15:23+0300
Токарь,Токарная обработка деталей на токарных станках.,"Знание механосборочных чертежей. Опыт работы на станках токарной группы 1М63, 1К62, знание устройства станка. ",,60000,70000,Белгород,2022-12-20T09:48:37+0300
Сервисный инженер / техник (механик),"Освидетельствование, ремонт, испытание аварийно-спасательного, противопожарного и навигационного снабжения. Работа на сервисной станции по адресу г. Мурманск ул. Траловая д. ",Среднее (высшее) техническое образование. Водительское удостоверение (приветствуется). Наличие загранпаспорта +действующая виза (приветствуется). Желание обучатся и развиваться в профессии. ,,50000,70000,Мурманск,2022-12-20T09:55:47+0300
Руководитель направления по информационной безопасности,"Выявление и оценка источников угроз безопасности информации, причин и условий, способствующих нанесению ущерба Обществу. Разработка и внедрение организационных и технических...","Высшее профильное образование (соответствие ПП313). Опыт работы в сфере ИБ от 3 лет. Опыт работы с криптосредствами (VipNet, Континет...",,135000,,Москва,2022-12-20T09:58:17+0300
Токарь-универсал,Выполнение работ по токарной обработке и доводке деталей на токарном станке.,"Специальное образование, опыт работы токарем на токарно-винторезных станках. Добросовестное отношение к своим обязанностям; исполнительность.",,40000,80000,Вахруши,2022-12-20T09:36:50+0300
Шлифовщик,"Работа на станках ОШ400, 3Е711, С827, 3Е710В, 3А227П. ",Мы рассматриваем кандидатов с 4-6 разрядом и подтверждённым опытом работы.,,115000,135000,Нижний Новгород,2022-12-20T09:28:13+0300
Техник-программист,"Обеспечение работоспособности и безопасности сети компании. Установка, настройка и обновление офисного и прикладного ПО (MS Office, 1С и т...","Опыт установки и поддержки ОС Windows (различных версий). Знание распространенного программного обеспечения (MS Office, 1С и иных программ). ",,,20500,Саранск,2022-12-20T09:53:38+0300
Инженер отдела технической поддержки,"Выполнение заявок по настройке системы, предоставления отчетности из БД с помощью MS SQL запросов по заявкам пользователей. Взаимодействие с отделами...","Опыт работы с БД. Знание основ программирования одного из высокоуровневых языков программирования (C, C++,C# и т.п.). ",,65000,,Томск,2022-12-20T09:15:07+0300
Токарь,,Опыт работы. Запись в трудовой. От 4 разряда. Наличие удостоверения.,,108000,,Калуга,2022-12-20T09:24:38+0300
Инженер по видеонаблюдению и СКУД,"Обеспечивать штатную работу технических систем обеспечения транспортной безопасности (система видеонаблюдения на транспорте, система геопозиционирования, телеметрии, радиосвязи), СКУД, СОТ, СОТС, в...","Знание систем обеспечения транспортной безопасности. Знание принципов работы СКУД, СОСТ, СОТ (Болид, Орион). Опыт установки и настройки систем видеорегистрации, систем...",,,100000,Химки,2022-12-20T09:23:36+0300
Токарь,,Опыт работы. Запись в трудовой. От 4 разряда. Наличие удостоверения.,,108000,,Воронеж,2022-12-20T09:24:38+0300
Техник комплексного технического обслуживания,"Работа по заявкам. Выполнять работы по техническому обслуживанию зданий, ремонту и монтажу.",Опыт работы. Коммуникабельность. Целеустремленность.,,36000,,Пенза,2022-12-20T09:19:57+0300
Механик грузовых автомобилей европейского производства,"Гарантийное и послегарантийное обслуживание, ремонт грузовой техники Mercedes-Benz.","Желателен опыт работы по ремонту, обслуживанию грузовой или спецтехники. Знание знание электроники и чтение электрических схем, знание дизельного двигателя и...",,35000,70000,Братск,2022-12-20T09:42:31+0300
.NET Developer,Разработка собственного программного продукта.,"Знание платформы .NET Framework и языка C#. Понимание принципов реляционного хранения данных, транзакций и языка SQL. Знание Web API 2. ",,80000,160000,Томск,2022-12-20T09:15:00+0300
Токарь,,Опыт работы. От 3 разряда. Запись в трудовой. Удостоверение.,,105000,,Верхняя Салда,2022-12-20T09:38:50+0300
Токарь,,Опыт работы. От 3 разряда. Запись в трудовой. Удостоверение.,,105000,,Екатеринбург,2022-12-20T09:38:50+0300
Токарь-универсал,"работа на станке ДИП 300, ДИП 500. - Токарная обработка валов, щитов, ступиц, втулки.",опыт работы на металлообрабатывающих станках с выполнением наладочных операций в качестве станочника широкого профиля от 5-ти лет. -,,70000,100000,Санкт-Петербург,2022-12-20T09:43:45+0300
Токарь,,Опыт работы. От 3 разряда. Запись в трудовой. Удостоверение.,,105000,,Нижний Тагил,2022-12-20T09:38:50+0300
Бизнес-аналитик / системный аналитик,Осуществлять сбор и анализ бизнес-требований в рамках разрабатываемого функционала. Согласовывать функциональные и системные спецификации. Взаимодействовать с бизнес-заказчиком: демонстрация...,Желательно высшее образование в области ИТ. Опыт написания функциональных и технических спецификаций по интеграционным задачам. Понимание принципов работы сервисов обмена...,,50000,,Челябинск,2022-12-20T09:04:04+0300
Кабельщик-спайщик,Устранять повреждения медно-жильных кабелей. Устранять повреждения оконечных кабельных устройств. Измерять электрические параметры кабеля.,Среднее техническое образование.,,,25000,Плавск,2022-12-20T09:57:09+0300
Механик,"Обеспечение правильной эксплуатации, ремонт и обслуживание дорожно-строительной техники. - Составление планов технического обслуживания. - Организация межремонтного обслуживания, своевременного и качественного ремонта...","Необходимое образовани, специальность: высшее, инженер-механик. Уверенный пользователь ПК (Excel, PowerPoint).",,55000,,Чехов,2022-12-20T09:58:47+0300
Начальник отдела информационной безопасности,"Администрирование и управление защищенной сетью передачи данных, построенной на технологии ViPNet. Подготовка технических заданий для регионального проекта, взаимодействие с медицинскими...","Высшее образование по направлению подготовки в области информационной безопасности и стаж работы в области ИБ, или высшее образование в области...",,45000,,Симферополь,2022-12-20T09:40:29+0300
Наладчик станков с ЧПУ,Наладка станка по существующим и самостоятельно написанным управляющим программам с последующим изготовлением деталей на станке. Сдача партий деталей ОТК. ,"Образование средне-профессиональное (высшее). Опыт работы на токарных станках и\или фрезерных станках. Знание основ металлообработки, металлорежущего инструмента, измерительного инструмента...",,70000,,Челябинск,2022-12-20T09:07:59+0300
Механик горного оборудования,"Руководство работой механической службы. Планирование ремонтов и технического обслуживания горного оборудования. Знание руководства по эксплуатации и ремонту, техническому обслуживанию горного...",Образование техническое не ниже среднего. Опыт работы на должности механика в горнорудных компаниях приветствуется.,,50000,,Новотроицк (Оренбургская область),2022-12-20T09:37:50+0300
Механик участка (Ямал),"Производит выпуск на линию исправных транспортных средств в соответствии с инструкцией по выпуску ТС на линию. Выявляет причины неисправностей, вызывающие...",Высшее или средне-специальное техническое образование. Опыт работы механиком от 3-х лет. Опыт диагностики и организации ремонта и обслуживания...,,120000,120000,Самара,2022-12-20T09:05:49+0300
Инженер по пультовой охране,"Обслуживание, обеспечение работоспособности компьютеров, оргтехники пульта централизованного наблюдения и офиса. Настройка и эксплуатация сетевого оборудования и локальной сети. ",Опыт работы с с охранными системами будет вашим преимуществом. Оконченное высшее техническое образование. Знание ПК уровня системного администратора. Внимательность.,,35000,,Майкоп,2022-12-20T09:49:22+0300
Токарь-расточник,,Опыт работы. Дисциплинированность.,,50000,55000,Владимир,2022-12-20T09:38:48+0300
Механик-наладчик,"Выполнение капитальных, текущих и аварийных ремонтов производственных линий. - участие в монтаже/демонтаже и пуске-наладке новых линий.","Знание принципа работы производственных конвейерных линий и оборудования, входящие в ее состав. Опыт монтажа, ремонта и обслуживания технически сложных механизмов...",,45000,,Новосибирск,2022-12-20T09:13:52+0300
Оператор токарных станков с ПУ 5 разряда,"Ведение процесса обработки с пульта на станках с программным управлением особо сложных, ответственных деталей с большим числом переходов, требующих перестановок...",Среднее профессиональное образование. Опыт работы по специальности от 3-х лет. Наличие подтвержденного разряда ОБЯЗАТЕЛЬНО!,,70000,,Санкт-Петербург,2022-12-20T09:28:18+0300
Мастер по ремонту оборудования,Организация работ по техническому обслуживанию и ремонту высокотехнологического оборудования. Контроль хода процесса ремонтных работ. Прием (сдача) оборудования на ремонт (с...,Высшее техническое образование. Опыт работы на производстве от 1 года.,,40000,45000,Тверь,2022-12-20T09:08:42+0300
Оператор на сварочный робот с ЧПУ,Работа на сварочном роботе с ЧПУ. Корректировка программ. Подготовка обвариваемых узлов к работе. Устранение дефектов сварных швов (при необходимости).,Образование не ниже среднее специального (технического). Опыт работы оператор сварочного робота не менее 1 года. Знание процессов сварки на сварочных...,,60000,,Воронеж,2022-12-20T09:04:11+0300
Оператор-наладчик технологического оборудования,"Работы по техническому обслуживанию и ремонту технологического и вспомогательного оборудования. Работы по сборке, монтажу, подключению и пуско-наладке оборудования.",Наличие опыт работы в сфере технологического обслуживания и ремонта оборудования. Оконченное образование (техническое). Ответственность.,,40000,40000,Владивосток,2022-12-20T09:44:28+0300
Оператор харвестера (инструктор-механик),Теоретический инструктаж операторов харвестера и форвардера. Практический инструктаж операторов харвестера и форвардера. Аттестация операторов. Показ мастер-класса. Техническое обслуживание и...,Желание работать и развиваться вместе со стабильной и активно развивающейся компанией. Практический опыт работы от 3-х лет на харвестере. ,,50000,100000,Братск,2022-12-20T09:42:31+0300
Механик горного оборудования,"Руководство работой механической службы. Планирование ремонтов и технического обслуживания горного оборудования. Знание руководства по эксплуатации и ремонту, техническому обслуживанию горного...",Образование техническое не ниже среднего. Опыт работы на должности механика в горнорудных компаниях приветствуется.,,50000,,Медногорск,2022-12-20T09:37:50+0300
Токарь,,Опыт работы. От 3 разряда. Запись в трудовой. Удостоверение.,,105000,,Пермь,2022-12-20T09:38:50+0300
Ведущий инженер-программист отдела сетевых технологий,"Настройка, ввод и текущая эксплуатация сетевого оборудования (коммутаторы маршрутизаторы) в сетях передачи данных на базе оборудования Eltex, Cisco, Huawei. ","Высшее техническое образование по специальностям: - вычислительные системы и сети. - вычислительные машины, комплексы, системы и сети. Желательно наличие действующих сертификатов: Cisco...",,83100,83100,Санкт-Петербург,2022-12-20T09:59:56+0300
Токарь-универсал,"Обработка деталей на универсальных станках 1К62, Дип 300,500, КЖ.",Наличие опыта работы по данной специальности приветствуется. Рассматриваем кандидатов с минимальным опытом работы.,,110000,,Иркутск,2022-12-20T09:41:08+0300
Сервисный инженер,"Готовность к постоянным командировкам! Выезд к клиентам (в основном по России). Выполнение сервисных работ у клиентов ( монтаж, пусконаладочные работы оборудования...",Высшее техническое образование. Умение читать чертежи и конструкторскую документацию! Опыт работы от 1 года (желательно на машиностроительном производстве). ,,80000,130000,Коломна,2022-12-20T09:01:57+0300
Инженер по экологической безопасности (проектирование),"Разработка природоохранных разделов проектной документации (разделы ""Перечень мероприятий по охране окружающей среды"", ОВОС, проектов СЗЗ и др. Проектирование в сфере...","ВО профильное. Знание ПО фирмы Интеграл серия Эколог, навыки работы AutoCad, MapInfo.",,30000,70000,Тюмень,2022-12-20T09:31:48+0300
Оператор станков с ЧПУ (листогибочные станки),Работа на листогибочных станках с ЧПУ.,Образование среднее-специальное. Опыт работы от 1 года желателен. Рассматриваем кандидатов с обучением на рабочем месте.,,50000,,Санкт-Петербург,2022-12-20T09:27:47+0300
"Программист Delphi, SQL","Поддержка/развитие внутренних информационных систем предприятия. Написание функций, процедур, триггеров SQL, разработка и оптимизация баз данных. Разработка на Delphi.",Уверенное знание SQL. Опыт написания пакетов/процедур/функций SQL. Понимание принципов оптимизации запросов. Опыт программирования на Sql от 2х...,,,92000,Волгоград,2022-12-20T09:08:32+0300
Сервисный инженер,"Готовность к постоянным командировкам! Выезд к клиентам (в основном по России). Выполнение сервисных работ у клиентов ( монтаж, пусконаладочные работы оборудования...",Высшее техническое образование. Умение читать чертежи и конструкторскую документацию! Опыт работы от 1 года (желательно на машиностроительном производстве). ,,80000,130000,Кашира,2022-12-20T09:01:57+0300
Станочник широкого профиля,Анализ исходных данных для выполнения токарной обработки поверхностей заготовок простых деталей с точностью размеров по 7-10 квалитетам на универсальных...,"Необходимо знать принцип работы, правила управления и эксплуатации токарных станков. Назначение и применение универсальных приспособлений, контрольно-измерительного стандартного и специального...",,65000,,Новокузнецк,2022-12-20T09:49:02+0300
Системотехник,"Обеспечение полной, непрерывной работоспособности информационных систем магазинов Магнит. Проведение плановых ТО. Проведение плановых перерегистраций ККТ. Документальное ведение учета ТМЦ. ","Образование от Средне-технического до Высшего. Желателен опыт работы на аналогичной должности от 1 года. Хорошее знание OC Windows, Linux...",,,40000,Чайковский,2022-12-20T09:18:34+0300
Токарь (ДИП-500),"Обработка на универсально-токарных станках деталей разной степени сложности. Точение, растачивание, нарезание наружной и внутренней резьбы.",Среднее профессиональное образование. Опыт работы на станках Т - 500. Свободное чтение машиностроительных чертежей.,,70000,110000,Череповец,2022-12-20T09:10:34+0300
"Инженер по гарантии (ПВХ, Алюминиевые светопрозрачные конструкции)",Взаимодействие с собственниками квартир и подрядными организациями в части гарантийного обслуживания. Организация и устранение замечаний в рамках гарантийных обязательств. ,"Образование в сфере строительства (среднее специальное / высшее). Знание устройства вентилируемых фасадов, мокрых фасадов, алюминиевых витражных конструкций, ПВХ. Практический опыт монтажа.",,70000,80000,Санкт-Петербург,2022-12-20T09:35:46+0300
Техник по обслуживанию пожарной сигнализации (апс),"Сфера деятельности компании: проектирование, монтаж, обслуживание и поставка оборудования инженерных сетей зданий и сооружений.","Базовые требования к кандидату: компания готова рассмотреть кандидатуры без опыта работы, выпускников ВУЗов. Опыт выполнения работ по обслуживанию пожарной сигнализации...",,40000,43000,Симферополь,2022-12-20T09:04:53+0300
Сервисный механик лесозаготовительной техники PONSSE,,"Желателен опыт работы по ремонту, обслуживанию импортной лесозаготовительной или строительной техники, готовность к командировкам по области. Знание гидравлики и чтение...",,50000,130000,Усть-Илимск,2022-12-20T09:42:31+0300
Начальник отдела разработки (ПАК и электронное оборудование),"Планирование и организация работы группы внутренних разработчиков и внешних исполнителей, контроль исполнения задач. Подбор и управление внешними разработчиками. ",Опыт разработки электронной/радиоэлектронной аппаратуры. Опыт выпуска законченного продукта/изделия. Опыт руководства группой разработчиков. Опыт планирования и контроля работы подразделения. ,,200000,250000,Москва,2022-12-20T09:16:23+0300
Помощник печатника и фрезеровщика,"Помощь печатнику и фрезеровщику в работе на различном печатном и фрезеровальном оборудовании, настройка оборудования, приладка, запуск тиража. Подготовка материала на...","Ответственность. Внимательность. Пунктуальность. Опыт работы печатником на любом полиграфическом оборудовании приветствуется, обучение на производстве. Базовые знания графических редакторов будут большим...",,18000,24000,Тольятти,2022-12-20T09:58:54+0300
Сервисный инженер,"Готовность к постоянным командировкам! Выезд к клиентам (в основном по России). Выполнение сервисных работ у клиентов ( монтаж, пусконаладочные работы оборудования...",Высшее техническое образование. Умение читать чертежи и конструкторскую документацию! Опыт работы от 1 года (желательно на машиностроительном производстве). ,,80000,130000,"Михнево (Московская область, Ступинский район)",2022-12-20T09:01:58+0300
Системный администратор,Сопровождение пользователей. Ремонт и настройка орг техники. Настройка серверов.,Опыт работы системным администратором. Знание серверного ПО. Водительские права кат В.,,45000,,Нестеров,2022-12-20T09:17:50+0300
Технический директор,"Организовывать работу и взаимодействие подчиненных подразделений: проектно-технического отдела, АХО, отдела складского хранения и транспортного подразделения. Обязанности: - Руководить организацией проектных...","Кандидат должен знать: - Законодательные и нормативные правовые акты, необходимые для выполнения вверенной работы; основы делопроизводства, порядок заключения договоров, а также...",,80000,,Екатеринбург,2022-12-20T09:52:00+0300
Старший системный администратор,"Развитие и поддержка существующей IT инфраструктуры, «работа руками». (сервисы на OC Linux, высоконагруженные системы; виртуализация, контейнеризация; L2 (Cisco, Mikrotik...",Уверенный опыт работы в системном администрировании от 2х лет. Наличие среднего/высшего технического образования. Управленческий опыт – как преимущество. ,,150000,150000,Москва,2022-12-20T09:30:04+0300
Full stack разработчик,Разработка ПО для проведения видеоконференций.,"Знание Java. Знание JavaScript, jQuery. Опыт работы с MySQL. Владение Linux, bash, SSH. Опыт работы с различными API.",,500000,1000000,Алматы,2022-12-20T09:24:31+0300
Слесарь по ремонту металлообрабатывающих станков,Ремонт металлорежущего оборудования.,Трудолюбие и дисциплинированность. Специальное образование или запись в трудовой книжке.,,50000,,Краснокамск,2022-12-20T09:00:09+0300
Оператор линии поверхностного монтажа (SMD),Монтаж на линии автоматического SMD монтажа. Визуальный контроль качества пайки. Выполнение монтажа печатных плат в соответствии с техпроцессом.,Образование среднее-специальное (желательно в сфере радиоэлектроники или наличие удостоверения повышения квалификации по специальности). Знание технологии поверхностного SMD монтажа и...,,45000,,Санкт-Петербург,2022-12-20T09:30:53+0300
